분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,2-3) 별의 일생과 원소 합성,B. 핵물리,1,하,인라인,원자핵이 흩어지지 않고 유지되는 까닭을 설명한 글입니다. 빈칸에 들어갈 말을 각각 고르세요.,1,1,강한 핵력/전자기력/중력,중성자/전자/광자,,,,,원자핵 속 양성자들은 서로 전기적으로 밀어낸다. 하지만 아주 짧은 거리에서 [1]이(가) 전자기 반발력을 압도하기 때문에 원자핵은 흩어지지 않는다. 또한 [2]은(는) 전하가 없어 반발력에 기여하지 않으면서 양성자들을 추가로 붙잡아 둔다.,"양성자끼리는 전기적으로 밀어내지만, 아주 가까운 거리에서는 강한 핵력이 그 반발력을 압도해요. 중성자는 전하가 없어 반발력을 더하지 않으면서 양성자들을 붙잡아 주죠. 원자핵은 아주 작은 공간이지만 그 안에서 가장 강한 결속이 작용해요."
,,,2,하,OX,"생명체는 죽은 뒤에는 대기 중 탄소-14를 더 이상 흡수하지 않으므로, 유기물에 남은 탄소-14의 비율은 고대 생명체의 나이를 추정하는 근거가 된다.",O,,O,X,,,,,-,"생명체는 살아 있는 동안에만 대기 중 탄소-14를 흡수해요. 죽은 뒤에는 흡수가 멈추고, 남아 있던 탄소-14는 약 5,730년의 반감기에 따라 줄어들어요. 그래서 남은 비율을 재면 그 생명체가 얼마나 오래전에 살았는지 추정할 수 있어요."
,,,3,중,사지선다 (단수),거대한 별의 중심부에서 이어지던 핵융합은 철에 도달하면 멈춥니다. 그 까닭은 무엇인가요?,1,,철보다 무거운 원소를 융합으로 만들려면 에너지를 소비해야 하기 때문이다,철의 원자핵에는 강한 핵력이 작용하지 않기 때문이다,중심부의 수소가 모두 철로 바뀌어 연료가 사라지기 때문이다,철의 원자핵이 불안정해 곧바로 붕괴하기 때문이다,,,-,철 부근의 원자핵은 핵자 하나당 결합 에너지가 가장 커요. 그래서 철보다 무거운 원소를 융합으로 만들려면 에너지를 오히려 넣어 주어야 해요. 철은 별 내부에서 에너지가 더 이상 쉽게 흘러나오지 않는 경계가 되는 셈이죠.
,,,4,중-상,순서배열,다음 문장은 별의 중심부에서 원소가 합성되는 과정을 나타냅니다. 핵융합이 진행되는 순서대로 배열하세요.,다-가-라-나,,헬륨 원자핵 세 개가 융합해 탄소로 바뀐다,융합으로 생성되는 원소는 철에 도달하면 더 무거워지지 않는다,별의 중심부에서 수소가 헬륨으로 융합된다,"탄소와 산소가 융합해 네온과 마그네슘, 규소로 이어진다",,,-,"별의 중심부에서는 가벼운 원소가 차례차례 더 무거운 원소로 융합돼요. 수소에서 시작한 사슬이 헬륨과 탄소를 지나 규소까지 이어지고, 철에 도달하면 멈추죠. 각 단계에서 생성된 원소가 다음 단계의 연료가 되기 때문에 순서를 건너뛸 수 없어요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,핵분열,,,,,,,,"우라늄이나 플루토늄처럼 매우 무거운 원소의 원자핵이 둘로 쪼개지면, 생성된 조각들은 원래보다 더 안정된 핵이 된다. 그 안정성의 차이만큼 에너지가 방출되는 이 과정을 ___(이)라고 한다.","무거운 원자핵이 둘로 쪼개지면 조각들은 원래 핵보다 더 안정해져요. 그 안정성의 차이가 에너지로 방출되는 것이 핵분열이에요. 가벼운 원소는 융합할 때, 훨씬 무거운 원소는 분열할 때 에너지를 내놓아요."
,,,6,중,사지선다 (복수),핵반응에서 에너지가 방출되는 경우로 옳은 것을 모두 고르세요.,1,2,철이나 니켈보다 가벼운 원소가 융합할 때 에너지가 방출된다,철이나 니켈보다 훨씬 무거운 원소가 분열할 때 에너지가 방출된다,철이나 니켈보다 가벼운 원소가 분열할 때 에너지가 방출된다,원자핵이 결합 에너지 곡선에서 덜 안정한 쪽으로 갈 때 에너지가 방출된다,,,-,"결합 에너지 곡선에서 더 안정한 쪽으로 가는 반응이 에너지를 내놓아요. 철과 니켈보다 가벼우면 융합할 때, 훨씬 무거우면 분열할 때 그 방향으로 움직이죠. 핵융합과 핵분열은 정반대처럼 보이지만 같은 원리로 설명돼요."
,,,7,중-상,순서배열,다음 문장은 거대한 별의 중심부가 초신성 폭발로 이어지는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-가-라-나,,철이 쌓인 중심부에서 핵융합은 별을 지탱할 에너지를 내지 못한다,무너진 중심부에서 초신성 폭발이 일어날 수 있다,거대한 별의 중심부에 융합의 최종 산물인 철이 쌓인다,에너지가 부족해진 중심부가 스스로 무너져 내린다,,,-,"철은 별 내부 핵융합의 마지막 산물이에요. 철이 쌓이면 핵융합이 별을 버틸 만한 에너지를 내지 못하고, 중심부가 무너져 초신성 폭발로 이어질 수 있어요. 오랫동안 균형을 이루던 별의 내부가 폭발로 바뀌는 순간이죠."
천문,2-4) 태양 — 가장 가까운 별,태양 — 가장 가까운 별,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,2-5) 극한의 별 — 입자의 세계,입자물리,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
